,question,gemini_pro,gemini_flash,gpt40613,mixtral,palm2,palmyra,gpt4o,gpt4turbo,llama,claude,final_answer
216,"An auto mechanic was repairing a car in his auto. shop when a spark ignited gasoline and oil residue on the floor. The mechanic managed to douse the flames, but not before the fire created giant billows of smoke that floated over onto a neighbor's property and caused the neighbor's home to become discolored. If the neighbor asserts a claim against the mechanic, the neighbor would most likely be able to recover for",C,C,C, D,C,C,C,B, C,C,C
217,"A landowner, being fee simple owner of an apartment building, devised it ""to both my assistant and my friend as tenants in common. "" Thereafter, the assistant died intestate, leaving his daughter as his only surviving heir. While the assistant's estate was in administration, the friend agreed to convey his interest in the apartment building to the daughter. A valid conveyance by the friend would be",C,C,C, C,C,C,C,C, C,C,C
218,"A hunter sat quietly in a forest, hiding behind some brush and waiting for deer to pass by him. After hours of waiting and not spotting any deer, the hunter decided to give up and go home. Disappointed that he never even got a chance to take a shot at a deer, the hunter decided to fire a few practice shots before walking back to his car. He aimed his rifle at a small tree at the top of a nearby hill and fired three shots. At that moment, a state police officer happened to be passing nearby. The officer was part of a police team searching the forest for a fugitive who was believed to be armed and dangerous. When the police officer heard the gunshots, he thought he was being attacked. He quickly pulled his pistol out of his holster and fired it toward the brush from which he had seen the muzzle flash from the hunter's rifle. One of the bullets fired by the police officer struck the hunter and seriously wounded him. If the hunter asserts a claim against the police officer to recover damages for his injury, the hunter will",C,C,C, C,C,C,C,C, C,C,C
219,"A defendant was being prosecuted on a charge of manslaughter in the first degree for causing the death of a 15-year-old girl on whom he had allegedly performed an abortion in his private clinic. A witness for the defendant testified to the defendant's non-culpability at the grand jury proceeding. The witness was later called as a defense witness at the trial. During his direct examination, defendant's attorney asked him, ""Is it not true that the defendant could not have performed the abortion on the decedent since he was assisting you in another abortion at the time?"" The witness answers in the negative and states that the defendant did, in fact, perform the abortion on the girl. The defendant's attorney then assails the witness's testimony as a recent fabrication, and asks the witness if he had not stated to a grand jury that the defendant was not guilty of performing the abortion, thus causing the death of the girl. The prosecutor objects to this question. The trial judge should rule that this question is",D,D,D, D,D,D,D,D, D,D,D
220,"During spring break, a private boarding school was deserted while students and teachers were away on vacation. A guidance counselor remained on campus because he was working on a research project. After working late one night, the counselor decided to enter the room of a student from a very wealthy family. The counselor was rummaging through the student's room looking for something valuable to steal. Under the bed, he noticed an expensive suitcase. The counselor opened the suitcase and found an express mail envelope. The counselor knew that the student's father often sent money to his son in express mail envelopes. The counselor opened the envelope and saw that it contained a large quantity of white powder, which he suspected to be heroin. The counselor telephoned the police, and an officer was dispatched to the school. The counselor handed the officer the envelope, which he transported to the police station. At the station house, the officer opened the envelope and sent a sampling of the substance to the police lab. Tests confirmed the substance to be heroin. The police did not secure a search warrant before confiscating and opening the envelope. The student was thereafter arrested and charged with unlawful possession of a controlled dangerous substance. The student's attorney has filed a motion to suppress the heroin from evidence. The motion will most likely be",C,C,C, C,C,C,B,C, C,C,C
221,"A property owner who owner her property in fee simple leased a three-story house and the 21 -acre tract upon which it stood to a friend for a term of 10 years. By the terms of the lease, the friend expressly covenanted to pay a monthly rental of $300 and to pay the taxes on the premises during the term of the lease. The lease also stipulated that the friend, as lessee, may not assign or sublease the said premises. The friend and his family lived in the house for two years. Then the friend assigned his leasehold interest in the property to a cousin, who was unaware of the prohibition against assignments. This written assignment expressly provided that the cousin would pay the owner the monthly rental of $300, but was silent concerning the payment of taxes. The owner never objected to this assignment. Six months after the assignment, the owner conveyed her property interest in the premises to a developer. During the cousin's tenancy, the State Highway Authority filed proceedings to condemn two acres of the tract for the purpose of highway construction. As a result, the cousin contacted the developer and informed him that he should be entitled to an apportioned reduction in the rental. After the developer refused to reduce the rent, the cousin brings an action to have his rent apportioned pro tanto. Judgment should be for",B,C,B, B,B,B,B,B, B,B,B
222,"An environmentalist was very interested in environmental issues, particularly protection of wetland areas. He decided to dig out the lawn in his back yard and turn the space into a swampy marsh. Eventually, his back yard was filled with tall grasses, reeds, and other marsh plants. A wide variety of frogs, turtles, snakes, birds, and other animals inhabited the yard. The ground was usually covered by several inches of standing water. The environmentalist's neighbors were not pleased with the condition of the environmentalist's yard. They complained that it produced foul odors, and they claimed that the standing water was a breeding ground for mosquitoes and other insects. Several months after the environmentalist converted his yard into a marsh, a real estate investor purchased the house closest to the environmentalist's back yard swamp. The investor lived in a large city several hundred miles away, and he purchased the house next to the environmentalist's for investment purposes. The investor rented the house to a family under a long-term lease. The tenant family complained frequently to the investor about being annoyed by the environmentalist's yard. If the investor asserts a nuisance claim against the environmentalist, the environmentalist's best defense would be",D,D,D, C,D,D,C,D, D,D,D
223,"A woman owned land in fee simple absolute. The woman conveyed the land to a friend ""for life,"" and when the friend died the land was to go to the woman's neighbor ""and her heirs."" The neighbor died and in her duly probated will devised her entire estate to a local charity. If she had died intestate, her daughter would have been her only heir. One year after the neighbor died, her daughter executed a quitclaim deed conveying any interest she might have in the land to the woman's friend. The common law Rule Against Perpetuities is unmodified in the jurisdiction. There are no other applicable statutes. Who has what interest in the land?",D,D,B, D,B,B,B,D, C,B,B
224,"Two executives from a company in China agreed to steal trade secrets of a pharmaceutical company in the United States. They arranged a meeting to purchase the secrets from an unscrupulous employee of the pharmaceutical company in the company's New York office. The person selling the ""secrets"" was an undercover FBI agent. The envelope that he held, with the word ""Confidential"" typed on the outside of it, contained various recipes and gardening tips. When the defendants turned over the money, they were arrested on federal charges of conspiracy to steal trade secrets. The defendants moved to dismiss the indictment, claiming that it was legally impossible to steal trade secrets when in fact there were no trade secrets in the envelope. Will the federal district court likely grant the motion to dismiss?",C,C,C, C,C,C,C,C, C,C,C
225,"A state built a casino and issued bonds to finance its construction. On five occasions, there were episodes of violence in various casinos in the state. The state police attributed the violence to greed and fear at the casinos. To prevent such violence, the state legislature passes a statute prohibiting all gambling at privately owned casinos in the state. Is this law likely to be held constitutional if most casinos in the state were owned by those from out-of-state?",B,C,B, B,C,C,B,B, C,B,B
226,"A small town in the Northeast developed the biggest ice sculpture in the world due to a massive snow, a deep freeze, and viral coverage on the social media. Hundreds of tourists poured into the area to work on the large block of ice. They made a gigantic ice palace for a variety of Disney princesses. To handle the needs of a great number of tourists, food vendors came from all over and set up their carts. To solve the problem of congestion, safety, and insufficient security, the town passed an ordinance restricting all street vendors to a specified parking lot area. The food vendors and others were losing money under the regulation. Would a commerce clause challenge to the parking lot requirement be successful by the food stand owners?",A,A,A, A,A,A,A,A, A,A,A
227,"Carol Collector was a serious antique car buyer, and was always searching for Thunderbirds in good shape. She saw a newspaper ad offering a 1964 Thunderbird sports coupe for $25,000, The ad also gave a website address ""to view a picture of the car,"" which Carol visited, and which showed a T-Bird with a perfect body and interior. Carol paid the $25,000 and signed a sales contract which specified that the Thunderbird was ""used and sold as is."" When Carol went to pick up the car, she learned it was a 1968 model, which was not at all rare and worth much less than the advertised 1964 model. If Carol brings suit against the seller, the likely outcome is for",D,B,D, A,D,D,D,A, B,D,D
228,"A university student, a citizen of State A, believes that her university violated federal law when it eliminated funding for the women's varsity volleyball team. She has sued the university, a nonprofit corporation located and incorporated in State B, and the university's athletic director, a citizen of State B, in federal court in State B. What is the best method of serving the defendants?",A,A,A, A,A,A,A,A, A,A,A
229,"A debtor owed a creditor $750 on an old debt. On July 1, the debt was barred by the statute of limitations. On August 1, the debtor ran into the creditor at a party and overheard him telling mutual friends that the debtor ""is a deadbeat who weiches on his debts. "" Feeling pangs of guilt, the debtor approached the creditor and orally agreed to pay him the $750 debt on September 1. The debtor refused to pay the creditor the $750 as promised on September 1St. If the creditor sues the debtor to recover the $750 debt, which would provide the strongest grounds that the debtor's oral promise was unenforceable?",A,A,A, A,C,C,C,A, A,A,A
230,"Because of a sudden and unanticipated severe shortage of heating fuel, the President has ordered all offices of federal executive agencies to be open only four days per week. The President's order allows an exception to the extent that emergency circumstances require different hours of operation (as in the case of federal hospitals). When Congress enacted the appropriations statute for operating all federal executive agencies, its members assumed that the offices of those agencies would be open five days per week, but Congress did not include such a requirement in its appropriations statute or in any other statute. Is the President's order constitutional?",D,D,D, D,D,D,D,D, D,D,D
231,"A fortune teller told fortunes by means of Tarot cards. An elderly woman, who was worried about her failing health, had heard that the fortuneteller was clairvoyant and could see into the future. Consequently, the woman decided to see the fortuneteller in order to have her Tarot cards read. As the fortuneteller was telling the woman her fortune, she suddenly said, ""I have a vision. If you give me $25,000 tomorrow, you will live to be 100 years old. "" The woman, who was 72 years of age, believed the fortuneteller and gave her the money the next day. The following week, the woman's physician informed her that she had a serious heart disease and he didn't expect her to live for more than a year or two. If the woman asserts a claim against the fortuneteller based on deceit, the plaintiff should",B,B,B, B,A,A,B,B, B,B,B
232,"A major bank foreclosed on a consumer mortgage. After the property was sold at sheriff's sale for $50,000, the bank sent the consumer due notice of a deficiency still owing of $10,000. The original note, however, had limited bank's recourse to $50,000 or higher. There was no response and the bank entered a deficiency judgment for $10,000. When it started execution proceedings to collect the $10,000, the defendants entered a defense, arguing that the bank was limited to recourse of $50,000 or higher. The judgment for $10,000 was therefore void and unenforceable. Will the court allow enforcement of the deficiency judgment for $10,000?",C,C,C, B,C,C,C,C, C,C,C
233,"A customer at a fish market was leaving the store after purchasing an assortment of shrimp, oysters, and scallops. He was walking along the sidewalk in front of the store when he slipped on a piece of eel. He brought suit against the owner of the market claiming that he suffered leg and back injuries. The owner, although admitting that the customer was injured by slipping on the eel, denied negligence and claimed that the customer was contributorily negligent. At trial, the owner calls a witness to testify that before the fall he heard someone call out to the customer, ""Watch it, buddy, you're going to step on that piece of fish. ""The witness's testimony is",A,C,A, C,A,A,A,A, C,A,A
234,"During a defendant's trial for driving while intoxicated, the prosecutor called a toxicologist to testif' as an expert witness. The toxicologist testified that the defendant's blood alcohol level, registered after his arrest, was 0. 14%. At the close of the toxicologist's testimony, the trial judge, over defense objections, instructed the jury that, in accordance with state law, a person with a blood alcohol level greater than 0. 10% is presumed to be intoxicated. No other instruction relating to that presumption was given. A relevant statute in this jurisdiction makes driving while intoxicated a felony and defines intoxication ""as a state of severely impaired mental and physical capacity caused by the ingestion of drugs or alcohol. ""The defendant was subsequently convicted of driving while intoxicated. On appeal, his conviction should be",C,C,C, C,C,C,C,C, C,C,C
235,"There may be a substantial time period between contract formation and final completion of performance. Concerning these executory contracts, which of the following is the least correct?",D,D,D, B,B,B,B,D, D,B,D and B
236,"A suspected drug dealer was arrested after selling three grams of cocaine to undercover police agents. He was subsequently convicted in state court of possession with intent to distribute narcotics. Following his conviction, the drug dealer was sentenced to a prison term of 10 years. After being sentenced, the drug dealer's attorney appealed the conviction, citing jury misconduct. While his appeal was pending, the drug dealer was then indicted by both a federal and a state grand jury for conspiracy to distribute the same cocaine. The drug dealer's attorney filed motions to dismiss each of the new indictments on the grounds that they violate double jeopardy. In all likelihood, double jeopardy requires the dismissal of",D,B,D, D,D,D,D,D, D,D,D
237,"A corporation under the authority of a state statute, sued to have condemned 1,000 acres of forested land owned by a tree company. The corporation intended to use the land to develop physical endurance and obstacle courses meant to train private security firms and forest rangers. After a hearing, the state court ordered possession of the land surrendered to the corporation upon deposit in court of a sum deemed adequate to cover damages that might be awarded. The tree company immediately commenced an action to enjoin the court-ordered sale of its property. Assume that the tree company was not given any notice of the condemnation proceedings by the appropriate state authorities. The tree company's best argument for challenging the validity of the condemnation proceedings would be",A,A,A, A,A,A,A,A, A,A,A
238,"Each year the state provides a number of non- interest-bearing loans andlor scholarships to candidates for the degree of L. L. B or J. D. at the state's law school. The applicable state statute limits eligibility to citizens of the United States and aliens seeking U. S. citizenship. A candidate for a J. D. degree at the state law school applied for one of the non-interest-bearing loans. Since he did not intend to seek U. S. citizenship, he was refused the loan for ineligibility under the state statute. In a suit by the candidate challenging the constitutionality of the state statute, he will",D,B,B, D,D,D,B,B, B,B,B
239,"The owner of a large family estate decided to sell the property. The owner entered into a valid written brokerage agreement with a real estate broker. According to terms of the agreement, the broker promised to undertake best efforts to sell the estate for a purchase price of not less than $1,250,000. The contract also provided that the broker was to be paid a commission of 5 percent on the gross sale price following the consummation of the sale and transfer of title. The brokerage agreement was effective for a period of two months. One month later, the broker notified the owner that she had found a buyer who wanted to purchase the property for $1,500,000. That same day, the broker handed the owner a real estate sales contract, signed by the buyer, in which the buyer agreed to pay $1,500,000 for the purchase of the estate. The owner investigated the buyer and discovered he had sufficient funds to purchase the estate. However, the owner changed his mind and decided not to sell the property. He told the broker that he would not sign the agreement. In addition, the owner told the broker that he was canceling their brokerage agreement because he was withdrawing the estate from the market. The owner also refused to pay the broker any commission. If the broker now sues the owner for breach of contract, which of the following, if anything, is the broker's proper measure of recovery?",D,C,D, D,D,D,D,D, C,D,D
240,"A witness in a murder case does not make the same statement faithfully, but rather he has given different versions of his observations at different times to different persons and investigators. The prosecution put the witness on the stand at trial to tell what he observed. The defendant's counsel impeached his testimony by bringing up prior inconsistent statements and accusing him of changing his story for trial. The prosecution then attempted to rehabilitate his credibility by referencing prior consistent statements. Prior consistent statements are not generally admissible because they are said to be repetitive, cumulative and to unfairly bolster the witness's credibility. Will the court likely allow the prosecution to rehabilitate the witness using prior consistent statements under these facts?",C,C,C, C,C,C,C,C, C,C,C
241,"The president of a pharmaceutical firm received a report from his testing bureau that a manufactured lot of the firmÕs anticancer prescription medication was well below strength. Concerned about being able to fulfill contractual commitments, the president instructed his staff to deliver the defective lot. A cancer patient who had been maintained on the drug died shortly after beginning to take the defective pills. Medical evidence established that the patient would have lived longer had the drug been at full strength, but would have died before long in any event. The president was convicted of murder. On appeal, he argues that his conviction should be reversed. Should the conviction be reversed?",B,B,B, B,B,B,B,B, B,B,B
242,"An American franchise operates as an importer and distributor of bicycles manufactured by a foreign country, and maintains several warehouses for the wholesale distribution of the bicycles. A warehouse located in a county handles the distribution of bicycles for several states. The bikes and bike tires are shipped separately to the county warehouse. The tires are mingled, stacked, and stored in the warehouse along with various other tires. The bicycles, on the other hand, arrive completely assembled in their shipping crates and remain on the loading docks. The county imposes an ad valorem property tax on the bikes and tires. The county's ad valorem tax may properly be assessed against the",C,A,C, A,A,C,A,C, C,A,C and A
243,"An aspiring actress, whose auditions had not been going well, was forced to pawn her mother's pearls to pay rent and buy food. She finally got good news when her agent told her that she had landed a part in a big movie. Delighted, the actress went down to the pawnshop to retrieve her mother's pearls. When she arrived, the clerk told her that she needed to have cash in order to retrieve the necklace. As she had not been paid yet for the movie, the actress called her agent and told him her dilemma. The agent told her he would come down to the pawnshop and fix everything. When the agent arrived, the actress was still arguing with the clerk. The agent pulled the actress aside and told her that he would distract the clerk while the actress snatched the necklace. The agent then pretended to be interested in an antique lighter, and the actress snatched her necklace off the counter and left the store. The agent is subsequently prosecuted for larceny. The defendant could most appropriately be found",D,B,B, C,A,A,C,B, B,C,B
244,In which situation would the defendant most likely be guilty of murder?,B,B,C, A,B,B,A,B, A,B,B
245,"A land-development company was the owner of a400-acre tract of land in the Southwest. Over the course of time, the land-development company developed two residential subdivisions of the land, an eastern tract and a western tract, each of which contained 150 acres. These subdivisions were created by separate plats that made no reference to each other. The restrictions in the plats were, however, substantially identical. The plats and each deed provided that ""the use of the land herein conveyed is restricted to single-family dwellings only, and this covenant is intended to apply to each and every lot in the subdivision and runs with the land, binding every lot owner, his heirs, and assigns. ""After all but four lots in each subdivision had been sold by the land-development company, it sold 50 acres of the remaining 100 acres of land to a country club by a deed containing the following provisions:""This deed is executed and accepted with the understanding that the property above described is hereby restricted so that(1) said property may be used as a country club, with a golf course, pool, tennis courts, club house, eating facilities, and other improvements appropriate to a country club. (2) said property may also be subdivided and platted as a residential subdivision similar to the eastern tract and the property shall thereafter be used in accordance with and conveyed subject to residential restrictions that shall conform with those restrictions in force against the eastern tract. (3) the restrictions herein contained shall be deemed covenants running with the land, and for breach of any covenant herein, the land-development company, its successors and assigns may, at its option, re-enter and terminate the estate conveyed hereby. ""At the time of this conveyance, the land- development company retained title to the remaining 50 acres in the original 400-acre tract. Thereafter, the land-development company developed an exclusive shopping center on 25 acres of the retained land. In February 2001, the land-development company sold the remaining eight residential lots in the eastern tract and the western tract. The next month, the land-development company executed the following instrument to the country club:""The land-development company, for itself, its successors, and assigns, does hereby release,surrender and quitclaim all rights, title, or other property interest in that certain acres owned by the country club. ""At the time this instrument was executed, the country club had built a club house, golf course, and tennis courts on a portion of its land, and it had 25 acres of vacant land remaining. The country club wishes to commence construction of a new high- rise complex (containing a hotel, shopping mall, apartments, etc. ) on the 25 acres of vacant land it possesses. In an action by one of the homeowners in the western tract to enjoin construction of the complex, plaintiff will most likely",D,B,A, C,C,C,B,C, B,C,C
246,"A professor employed by a state university is a well- known critic of foreign policy and has sometimes publicly stated that he wished for the United States to suffer some collective political tragedy in retribution for all the harms it does to the world. The professor was recently involved in a highly visible political protest against the government. The police eventually shut down the protest because they felt that it was becoming unruly. A television crew covered the entire rally. On the six o'clock news that evening, the film of the protest rally was shown during the broadcast. A news anchorman then made the following commentary: ""It's a shame that public funds are spent to pay the salaries of such university professors, who are not grateful for what this country has done for them. In my opinion, these people like the professor should be deported. ""If the professor asserts a claim based on invasion of privacy against the television station and the anchorman for his television commentary, the most likely result is that the professor will",B,B,B, A,C,C,B,A, B,B,B
247,"Police officers received an anonymous tip that two men were selling cocaine from the back of a restaurant. The tipster stated to the police that the two men were both tall white men who were wearing jeans and black shirts, the uniform of the restaurant. The tipster also said that one of the men had red hair and was wearing a tan ball cap and the other man had black hair and was wearing a red ball cap. The police set up surveillance on the back of the restaurant and saw the two men make several hand- to-hand transactions. Upon receiving authority to make the arrest from their commanding officer, they waited for the two men to come out again. About two hours later, the two men came out again, this time with a woman. The officers arrested the two men and detained the woman to determine her involvement. The officers took the woman's purse without her consent and searched it for illegal narcotics. In her purse they found three grams of crack cocaine, digital scales, a small glass pipe used for inhaling crack cocaine, and a balloon of black tar heroin. The woman was then arrested on the various drug charges. The woman was thereafter prosecuted and charged with illegal possession of a controlled dangerous substance and possession of drug paraphernalia. She filed a motion to exclude the drugs and the paraphernalia from evidence. Her motion will most likely be",A,A,A, D,A,A,A,A, A,A,A
248,"A woman joined a web site to get her credit reports. The site required creation of an account before she could enter. On that form, a notice appeared in bold letters: ""TERMS AND CONDITIONS: This is a Contract. By creating an account, you agree to and accept the terms and conditions for use of this website."" She did not access the terms, which she could have done by clicking a conspicuous link. She started an account and paid $50 for a credit report. For the next 6 months, her credit card was automatically billed $50, without notice, except that she received email notice that the report was available at the site. The terms and conditions provided that she authorized the charges, unless she notified the company otherwise in advance. Which party will likely prevail on the issue of whether she was bound to pay for the 6 months until she canceled?",B,D,B, C,B,B,B,B, B,B,B
249,"A pet breeder is in the business of breeding calves at his cattle ranch where he has a stable of prolific cows who are very fertile. The newborn calves need constant attention and care. One day one of the employees inadvertently leaves the fence door open and a newly-born calf breaks free and goes to his neighbor's land. The breeder went to the neighbor's land to retrieve the calf for its safety and to make sure it was unharmed. However, he was arrested on a trespass charge after entering the land. The breeder appealed. Will the court dismiss the charge?",A,A,A, A,A,A,A,A, A,A,A
250,"A sculptor owned a summer cottage on a small lake. In order to facilitate the access to the cottage, the sculptor entered into an agreement with a neighbor, an adjoining land owner, whereby the neighbor, in writing, granted the sculptor a right-of-way over a strip of land 30 feet in width and a quarter of a mile in length along the eastern margin of the neighbor's property. After using the roadway for a year, the sculptor and his family moved to Europe for business reasons. The sculptor and his family have not used the cottage for 11 years because of his employment commitment in Europe. During the sculptor's absence, the neighbor constructed an access ramp to his dock, which obstructed the road to the sculptor's cottage. Upon the sculptor's return from Europe, he goes to his lakefront cottage and discovers the obstructing ramp. The sculptor initiates suit against the neighbor to compel him to remove the ramp. The court would most likely",C,C,C, C,C,C,C,C, C,C,C
251,"A husband and his passenger were killed in an auto collision involving a defendant. The husband's wife now brings an action to recover damages for loss of society and companionship. The wife testified that she and her husband had a close relationship and that they were happily married for over 15 years. Then on cross-examination, defendant's counsel asked her if she ""was aware of the affair that her husband was having with his passenger?""The wife's attorney immediately objected to this question. The judge should rule that the question is",B,B,B, C,C,C,C,A, A,C,C
252,Which of the following offers for the sale of widgets is not enforceable if the seller changes his mind prior to acceptance?,B,D,B, B,B,B,C,B, B,B,B
253,"In 1995, a developer purchased a 100-acre tract located in a northern county of a state. Shortly thereafter, the developer prepared a subdivision plan that created 100 one-acre residential building lots on this tract. In 1996, the subdivision plan was recorded with the county recorder's office. During the next few years, the developer sold 60 residential lots to individual purchasers. Each deed specified that every lot designated on the subdivision plan was to be recorded in the county recorder's office. Each deed also provided the following:""No house trailer or mobile home shall be built or maintained on any lot within the subdivision. ""In 2002, the developer conveyed the remaining 40 lots to a builder by deed that included language identical to that contained in the first 60 deeds. By 2007, the builder had sold all of the 40 lots. Each of these deeds identified each lot as being a part of the subdivision, but did not include the clause relating to mobile homes. On January 30, 2008, a man who had purchased one of the residential lots from the builder placed a mobile home on his property. A woman who owns a lot in the subdivision initiates suit against the man to force him to remove the mobile home. Which of the following would be the most accurate statement of law?",D,D,C, C,C,C,C,C, C,D,C
254,"A widower had three children: one was unmarried and the other two were married with children. When he became chronically ill and could not care for himself, his unmarried daughter moved into his home to take care of him. As time went on, the widower became senile, lost touch with reality, and required continuous care. When that happened, the caretaking daughter made out a deed to herself as grantee and had him sign as grantor. He was not aware of what he was doing when he signed it. After the widower died, the two married children sued to have the deed set aside for mental incompetence. Assuming they can prove the foregoing allegations, will the court likely strike down the deed?",C,C,C, C,C,C,C,C, C,C,C
255,"A farmer owned a piece of land on which he grew strawberries. Over the years, the farmer had earned a reputation for growing strawberries that were extremely sweet and juicy. For that reason, consumers always looked forward to strawberry season, when the farmer's strawberries would be available. Hoping to capitalize on the farmer's reputation, a produce retailer who operated three stores in the area contacted the farmer about the possibility of carrying the farmer's strawberries in his stores. After lengthy negotiations, the parties executed the following written agreement:""The farmer will supply the retailer with all of its needs of strawberries from April through July each year for the next three years. The retailer will pay $5. 00 per bushel of strawberries delivered. ""On April 1 of the first year of the contract, the retailer submitted an order for 75 bushels of strawberries. Upon receiving the order, the farmer sent the retailer the following fax:""Your order was way more than I anticipated. If! sent you that many strawberries I would not have enough for my other customers. I can send you 50 bushels, but no more. ""The retailer then notified the farmer that if he did not deliver all 75 bushels, the retailer would sue him for breach of contract. The agreement entered into between the farmer and the retailer would best be described as a (an)",C,C,C, C,C,C,C,C, C,C,C
256,"Following their law school graduation party, a graduate and his roommate were driving home in an automobile that was owned and operated by the graduate. As they were approaching an intersection, their vehicle collided with a motorcycle whose rider was seriously injured in the accident. The rider sued the graduate for operating his motor vehicle in excess of the speed limit. In addition, the roommate brought suit against the rider for operating his motorcycle negligently and driving through a red light. The roommate subsequently reached an out- of-court settlement with the graduate and dismissed the lawsuit against him. At trial against the rider, the roommate testified that he observed the rider drive his motorcycle through a red light and then swerve into the path of the graduate's automobile. In rebuttal, the rider offered into evidence the roommate's complaint against the graduate alleging that the latter was driving ""at an excessively high rate of speed at the time the accident occurred. ""The complaint is",A,D,A, D,A,A,D,A, A,D,A
257,"A riot broke out in a city, and many shops had been looted and some had been burned during the riots. Goods of all kinds were in piles or strewn about the sidewalk. During the riot, a defendant was walking along the street when he paused in front of an appliance store. He picked up a portable television set that was lying on the sidewalk and started to walk off quickly. A police officer who was standing in front of the shop rushed after the defendant and arrested him. The defendant, an indigent, was charged with grand larceny, a felony carrying the maximum penalty of seven months imprisonment and a S 1,000 fine. At his arraignment, the judge advised the defendant of his right to have counsel appointed for him. The defendant, however, told the judge that he wanted to represent himself and waive his right to a jury trial. The judge then questioned the defendant at length about his demands. The defendant indicated that he had no previous legal experience. He told the judge that the reason he didn't want a court-appointed attorney to represent him was because he didn't trust lawyers. The judge did not find the defendant's reasons for representing himself to be persuasive and appointed an attorney to represent him. Thereafter, an attorney was appointed by the court to represent the defendant. The attorney told the court that the defendant wanted a non-jury trial. However, at the prosecution's request, the court impaneled a jury. The defendant was subsequently convicted by the jury and sentenced to six months imprisonment. In addition, the defendant was ordered to reimburse the state $450 to cover the cost of his attorney. This reimbursement order was made pursuant to a relevant statute in effect at the time of the defendant's arrest. The defendant appeals both the conviction and the reimbursement order. The appellate court should",D,D,D, A,D,D,D,D, A,D,D
258,"A resident in an exclusive residential area is a marine biologist. To aid in his study of sharks, he had a large tank built in his backyard in which he placed a great white shark. Aside from a smell that emanated from the tank, some neighbors were concerned and afraid to let their children outside for fear that they would wander onto the resident's property. In order to convince his neighbors that they had nothing to fear, the resident invited them over to view the shark tank. While a neighbor was standing near the tank, the shark splashed its tail, and the neighbor got very wet. The neighbor, who had a cold, developed bronchitis. If the neighbor sues the resident for damages incurred from being drenched by the shark and bases her suit on strict liability, she will most likely",D,D,D, A,D,D,A,D, D,D,D
259,"While walking across the street one afternoon, a pedestrian was hit by a car and thrown down in the middle of the intersection. The driver of the vehicle did not stop. Although he never lost consciousness, the pedestrian was in excruciating pain and has been taking strong painkillers since the accident that have affected his memory of the accident. At trial, the pedestrian calls a renowned hypnotist to testify. The hypnotist proposes to testify that after he placed the pedestrian under a hypnotic spell, the pedestrian gave a detailed account of the accident and told the hypnotist that the driver ran a red light and that the driver's license plate number was GIJO-7 14. The driver concedes that his license plate number isGIJO-7 14. The hypnotist's proposed testimony will most likely be held to be",D,D,D, D,D,D,D,D, C,D,D
260,"A female employee was fired as an executive assistant at a time when she was seven months pregnant. She brought a Title VII civil rights action in federal court for gender discrimination against the employer. At trial, a former co-worker of the woman was not allowed to testify that she heard the human relations manager saying in an informal meeting that the plaintiff and her predecessor were both fired due to what the manager described as ""pregnancy complications."" The proposed witness had been a vice-president of the company and a close adviser to the president. Without the benefit of that vital testimony, the jury entered a verdict for the defendant employer. On appeal, the plaintiff argued that the testimony should have been allowed and that it was not hearsay under the federal rules. Will the court likely grant the appeal, and order a new trial?",C,D,C, C,C,C,C,C, C,C,C
261,"A manufacturer of widgets entered into a written agreement to deliver 500 widgets to a buyer. The contract provided that the widgets would be shipped C. O. D. The manufacturer subsequently delivered 490 widgets, which were accepted and paid for by the buyer. If the buyer brings suit for breach of contract against the manufacturer, the buyer will most likely",C,D,D, D,D,D,C,C, C,A,D
262,"A husband was about to leave his home for work one morning when his wife ran in from the kitchen explaining that their 4-year-old son had just swallowed some medicine that had been prescribed for use as a skin lotion. Dashing to the car, the husband then drove his wife and ailing son to the nearest hospital. On the way to the hospital, the son had a seizure and stopped breathing. Seconds later, the car went out of control despite the husband's reasonable efforts, swinging across the center line into oncoming traffic, where it collided wit. I1 a car driven by a driver who was driving in the opposite direction. In this jurisdiction, a statute makes it a misdemeanor for any motor vehicle to travel to the left of the center line of any two-way highway, road, or street. If the driver asserts a claim against the husband, the most likely result is that the plaintiff will",D,D,D, D,D,D,D,D, D,D,D
263,"A woman went to a commercial building for a business meeting. After the meeting, she was injured in the building's elevator as it suddenly fell and crashed to the basement from the third floor. She sued the building's owner, but at trial the only evidence she had regarding the issue of negligence was that she was in the elevator when it malfunctioned. Will the trial judge dismiss the case as a matter of law without letting it go to the jury?",C,C,C, C,C,C,C,C, C,C,C
264,"A husband and wife had been married for 10 years. The wife obtained a divorce from the husband after learnitg that he was engaging in an extramarital love affair with one of his co-workers. Following the divorce, the husband was arrested and charged with embezzling funds from his employer during a two- year period. In preparing for trial, the prosecuting attorney interviewed the wife, who stated that during their marriage, the husband admitted committing the embezzlement. This jurisdiction has adopted both the common-law marital and spousal privileges. At the husband's trial, the wife is called to testify regarding statements the husband made to her during the marriage regarding commission of the crime. Upon objection by the husband's attorney, the wife's testimony will be",D,D,D, D,D,D,D,D, B,B,D
